#
# Mean: -7.51119278e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.51119278e-03       2.631124e-07
      2              500       -7.51119278e-03       3.387092e-07
      5              200       -7.51119278e-03       4.533248e-07
     10              100       -7.51119278e-03       5.687141e-07
     20               50       -7.51119278e-03       5.813407e-07
     50               20       -7.51119278e-03       6.859848e-07
    100               10       -7.51119278e-03       8.263809e-07
    200                5       -7.51119278e-03       1.120802e-06
    300                3       -7.51117857e-03       5.000683e-07
    400                2       -7.51176964e-03       1.232517e-06
# Stocahstic error estimate: 5.813407e-07
#
