#
# Mean: -7.51202599e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.51202599e-03       2.441661e-07
      2              500       -7.51202599e-03       3.124760e-07
      5              200       -7.51202599e-03       4.104688e-07
     10              100       -7.51202599e-03       5.057047e-07
     20               50       -7.51202599e-03       5.923489e-07
     50               20       -7.51202599e-03       7.243003e-07
    100               10       -7.51202599e-03       7.414136e-07
    200                5       -7.51202599e-03       9.722372e-07
    300                3       -7.51234678e-03       4.583045e-07
    400                2       -7.51283127e-03       2.530115e-07
# Stocahstic error estimate: 7.414136e-07
#
