#
# Mean: -7.50031146e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.50031146e-03       2.856322e-07
      2              500       -7.50031146e-03       3.623501e-07
      5              200       -7.50031146e-03       4.654439e-07
     10              100       -7.50031146e-03       5.010152e-07
     20               50       -7.50031146e-03       5.720549e-07
     50               20       -7.50031146e-03       6.570405e-07
    100               10       -7.50031146e-03       7.817506e-07
    200                5       -7.50031146e-03       9.084325e-07
    300                3       -7.50052612e-03       5.112977e-07
    400                2       -7.50090656e-03       1.182211e-06
# Stocahstic error estimate: 9.084325e-07
#
