#
# Mean: -7.50210420e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.50210420e-03       2.846647e-07
      2              500       -7.50210420e-03       3.616144e-07
      5              200       -7.50210420e-03       4.736404e-07
     10              100       -7.50210420e-03       5.553209e-07
     20               50       -7.50210420e-03       5.757250e-07
     50               20       -7.50210420e-03       7.018679e-07
    100               10       -7.50210420e-03       6.525070e-07
    200                5       -7.50210420e-03       7.071257e-07
    300                3       -7.50252594e-03       6.107731e-07
    400                2       -7.50244832e-03       1.567308e-06
# Stocahstic error estimate: 5.757250e-07
#
