#
# Mean: 5.68998517e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.68998517e-01       2.207034e-05
      2              500       5.68998517e-01       2.526394e-05
      5              200       5.68998517e-01       3.203675e-05
     10              100       5.68998517e-01       3.309632e-05
     20               50       5.68998517e-01       3.884584e-05
     50               20       5.68998517e-01       2.939109e-05
    100               10       5.68998517e-01       2.507178e-05
    200                5       5.68998517e-01       2.558335e-05
    300                3       5.69007355e-01       3.077561e-05
    400                2       5.68999255e-01       5.816340e-05
# Stocahstic error estimate: 3.309632e-05
#
