#
# Mean: 5.69046930e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69046930e-01       2.280413e-05
      2              500       5.69046930e-01       2.586284e-05
      5              200       5.69046930e-01       2.889016e-05
     10              100       5.69046930e-01       3.095621e-05
     20               50       5.69046930e-01       3.352433e-05
     50               20       5.69046930e-01       2.663149e-05
    100               10       5.69046930e-01       3.131357e-05
    200                5       5.69046930e-01       3.203183e-05
    300                3       5.69061685e-01       1.127748e-05
    400                2       5.69075013e-01       6.927271e-07
# Stocahstic error estimate: 3.352433e-05
#
