#
# Mean: 5.68967429e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.68967429e-01       1.891273e-05
      2              500       5.68967429e-01       2.206891e-05
      5              200       5.68967429e-01       2.647616e-05
     10              100       5.68967429e-01       2.880630e-05
     20               50       5.68967429e-01       2.754347e-05
     50               20       5.68967429e-01       3.011087e-05
    100               10       5.68967429e-01       3.681249e-05
    200                5       5.68967429e-01       3.692845e-05
    300                3       5.68970012e-01       2.428293e-05
    400                2       5.68972511e-01       5.230993e-05
# Stocahstic error estimate: 2.880630e-05
#
