#
# Mean: 5.68986836e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.68986836e-01       1.702680e-05
      2              500       5.68986836e-01       2.020788e-05
      5              200       5.68986836e-01       2.438998e-05
     10              100       5.68986836e-01       2.579229e-05
     20               50       5.68986836e-01       2.774809e-05
     50               20       5.68986836e-01       2.798543e-05
    100               10       5.68986836e-01       3.002170e-05
    200                5       5.68986836e-01       2.065667e-05
    300                3       5.68990344e-01       2.605463e-05
    400                2       5.68975796e-01       2.500897e-05
# Stocahstic error estimate: 2.798543e-05
#
