#
# Mean: -8.56271161e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.56271161e-02       2.072016e-06
      2              500       -8.56271161e-02       2.583073e-06
      5              200       -8.56271161e-02       3.385623e-06
     10              100       -8.56271161e-02       3.936551e-06
     20               50       -8.56271161e-02       4.319484e-06
     50               20       -8.56271161e-02       4.882076e-06
    100               10       -8.56271161e-02       4.809111e-06
    200                5       -8.56271161e-02       6.916907e-06
    300                3       -8.56256271e-02       6.442204e-06
    400                2       -8.56233060e-02       9.537709e-06
# Stocahstic error estimate: 4.882076e-06
#
