#
# Mean: -1.00573452e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.00573452e-02       1.815949e-07
      2              500       -1.00573452e-02       2.281002e-07
      5              200       -1.00573452e-02       2.937811e-07
     10              100       -1.00573452e-02       3.258152e-07
     20               50       -1.00573452e-02       3.189265e-07
     50               20       -1.00573452e-02       4.066869e-07
    100               10       -1.00573452e-02       4.101638e-07
    200                5       -1.00573452e-02       3.906274e-07
    300                3       -1.00572877e-02       1.044640e-07
    400                2       -1.00573475e-02       1.371906e-07
# Stocahstic error estimate: 3.258152e-07
#
