#
# Mean: -1.51095571e-01
# Block size    # of blocks         Mean                Error
      1             1000       -1.51095571e-01       5.837117e-06
      2              500       -1.51095571e-01       7.365252e-06
      5              200       -1.51095571e-01       9.600025e-06
     10              100       -1.51095571e-01       1.093346e-05
     20               50       -1.51095571e-01       1.224223e-05
     50               20       -1.51095571e-01       1.018489e-05
    100               10       -1.51095571e-01       1.141360e-05
    200                5       -1.51095571e-01       1.291488e-05
    300                3       -1.51091358e-01       1.296950e-05
    400                2       -1.51090675e-01       2.190236e-05
# Stocahstic error estimate: 1.224223e-05
#
