#
# Mean: -1.02211576e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.02211576e-02       7.267748e-08
      2              500       -1.02211576e-02       9.236758e-08
      5              200       -1.02211576e-02       1.226962e-07
     10              100       -1.02211576e-02       1.510451e-07
     20               50       -1.02211576e-02       1.645965e-07
     50               20       -1.02211576e-02       2.190104e-07
    100               10       -1.02211576e-02       1.652252e-07
    200                5       -1.02211576e-02       1.738791e-07
    300                3       -1.02211652e-02       2.113678e-07
    400                2       -1.02211929e-02       1.225901e-08
# Stocahstic error estimate: 2.190104e-07
#
