#
# Mean: -1.95403878e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.95403878e-02       4.720453e-07
      2              500       -1.95403878e-02       6.032079e-07
      5              200       -1.95403878e-02       7.976149e-07
     10              100       -1.95403878e-02       9.833335e-07
     20               50       -1.95403878e-02       1.254666e-06
     50               20       -1.95403878e-02       1.006349e-06
    100               10       -1.95403878e-02       1.286634e-06
    200                5       -1.95403878e-02       1.609774e-06
    300                3       -1.95402123e-02       1.278445e-06
    400                2       -1.95404465e-02       1.029287e-06
# Stocahstic error estimate: 1.254666e-06
#
