#
# Mean: 5.72283696e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.72283696e-01       4.157606e-05
      2              500       5.72283696e-01       4.953105e-05
      5              200       5.72283696e-01       6.523109e-05
     10              100       5.72283696e-01       7.521206e-05
     20               50       5.72283696e-01       8.902338e-05
     50               20       5.72283696e-01       1.046544e-04
    100               10       5.72283696e-01       1.302369e-04
    200                5       5.72283696e-01       1.214896e-04
    300                3       5.72370999e-01       1.248460e-05
    400                2       5.72340649e-01       1.205514e-04
# Stocahstic error estimate: 1.302369e-04
#
