#
# Mean: -3.21561946e-02
# Block size    # of blocks         Mean                Error
      1             1000       -3.21561946e-02       8.171673e-07
      2              500       -3.21561946e-02       1.041718e-06
      5              200       -3.21561946e-02       1.362954e-06
     10              100       -3.21561946e-02       1.716793e-06
     20               50       -3.21561946e-02       1.720066e-06
     50               20       -3.21561946e-02       2.210139e-06
    100               10       -3.21561946e-02       2.180627e-06
    200                5       -3.21561946e-02       2.449840e-06
    300                3       -3.21557584e-02       4.332277e-06
    400                2       -3.21565807e-02       6.142375e-06
# Stocahstic error estimate: 1.720066e-06
#
