#
# Mean: -7.08784000e-03
# Block size    # of blocks         Mean                Error
      1             1000       -7.08784000e-03       5.415118e-07
      2              500       -7.08784000e-03       6.859933e-07
      5              200       -7.08784000e-03       8.965079e-07
     10              100       -7.08784000e-03       1.062802e-06
     20               50       -7.08784000e-03       1.172938e-06
     50               20       -7.08784000e-03       1.122458e-06
    100               10       -7.08784000e-03       1.291836e-06
    200                5       -7.08784000e-03       1.636545e-06
    300                3       -7.08819236e-03       8.918641e-07
    400                2       -7.08882727e-03       3.167909e-06
# Stocahstic error estimate: 1.172938e-06
#
