#
# Mean: 5.69167252e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69167252e-01       2.659172e-05
      2              500       5.69167252e-01       3.240373e-05
      5              200       5.69167252e-01       3.782683e-05
     10              100       5.69167252e-01       3.895944e-05
     20               50       5.69167252e-01       4.331602e-05
     50               20       5.69167252e-01       3.795029e-05
    100               10       5.69167252e-01       3.619758e-05
    200                5       5.69167252e-01       4.825517e-05
    300                3       5.69163792e-01       5.158203e-05
    400                2       5.69178852e-01       1.025057e-04
# Stocahstic error estimate: 3.895944e-05
#
