#
# Mean: 5.77922003e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.77922003e-01       9.238579e-05
      2              500       5.77922003e-01       1.150581e-04
      5              200       5.77922003e-01       1.451413e-04
     10              100       5.77922003e-01       1.629525e-04
     20               50       5.77922003e-01       1.803906e-04
     50               20       5.77922003e-01       1.637102e-04
    100               10       5.77922003e-01       1.744266e-04
    200                5       5.77922003e-01       2.474195e-04
    300                3       5.77966549e-01       3.664685e-04
    400                2       5.77939820e-01       5.582688e-04
# Stocahstic error estimate: 1.803906e-04
#
