#
# Mean: -1.69287473e-03
# Block size    # of blocks         Mean                Error
      1             1000       -1.69287473e-03       4.234145e-05
      2              500       -1.69287473e-03       5.226812e-05
      5              200       -1.69287473e-03       6.620642e-05
     10              100       -1.69287473e-03       7.426978e-05
     20               50       -1.69287473e-03       9.005343e-05
     50               20       -1.69287473e-03       9.219410e-05
    100               10       -1.69287473e-03       7.391397e-05
    200                5       -1.69287473e-03       7.006971e-05
    300                3       -1.68834793e-03       8.496919e-05
    400                2       -1.65621743e-03       1.273874e-04
# Stocahstic error estimate: 9.219410e-05
#
