#
# Mean: 2.08953288e-02
# Block size    # of blocks         Mean                Error
      1             1000       2.08953288e-02       2.301488e-05
      2              500       2.08953288e-02       2.854671e-05
      5              200       2.08953288e-02       3.694339e-05
     10              100       2.08953288e-02       4.045543e-05
     20               50       2.08953288e-02       4.193034e-05
     50               20       2.08953288e-02       4.833359e-05
    100               10       2.08953288e-02       5.500306e-05
    200                5       2.08953288e-02       4.217526e-05
    300                3       2.08713497e-02       8.611313e-05
    400                2       2.08860087e-02       4.718460e-05
# Stocahstic error estimate: 4.193034e-05
#
