#
# Mean: 6.72976852e-01
# Block size    # of blocks         Mean                Error
      1             1000       6.72976852e-01       3.944179e-05
      2              500       6.72976852e-01       4.690796e-05
      5              200       6.72976852e-01       5.523641e-05
     10              100       6.72976852e-01       6.109084e-05
     20               50       6.72976852e-01       5.820540e-05
     50               20       6.72976852e-01       6.519699e-05
    100               10       6.72976852e-01       8.227430e-05
    200                5       6.72976852e-01       7.676356e-05
    300                3       6.72979990e-01       1.424622e-04
    400                2       6.73018053e-01       8.561085e-05
# Stocahstic error estimate: 6.109084e-05
#
