#
# Mean: -1.45026037e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.45026037e-02       2.948746e-07
      2              500       -1.45026037e-02       3.541366e-07
      5              200       -1.45026037e-02       4.406104e-07
     10              100       -1.45026037e-02       4.839607e-07
     20               50       -1.45026037e-02       5.025883e-07
     50               20       -1.45026037e-02       5.828128e-07
    100               10       -1.45026037e-02       5.412472e-07
    200                5       -1.45026037e-02       6.652903e-07
    300                3       -1.45023517e-02       6.061012e-07
    400                2       -1.45020624e-02       1.786371e-07
# Stocahstic error estimate: 5.025883e-07
#
