#
# Mean: 6.84295075e-01
# Block size    # of blocks         Mean                Error
      1             1000       6.84295075e-01       1.043982e-04
      2              500       6.84295075e-01       1.276564e-04
      5              200       6.84295075e-01       1.574304e-04
     10              100       6.84295075e-01       1.766501e-04
     20               50       6.84295075e-01       1.843709e-04
     50               20       6.84295075e-01       1.894051e-04
    100               10       6.84295075e-01       2.323490e-04
    200                5       6.84295075e-01       2.987704e-04
    300                3       6.84164638e-01       1.835838e-04
    400                2       6.84109874e-01       1.663452e-04
# Stocahstic error estimate: 1.843709e-04
#
