rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
6	-8.49352396e-02	2.161968804512226949e+00 
7	-8.49146556e-02	3.792138915789493581e+00 
12	-8.48862941e-02	4.568059578709028123e+00 
8	-8.48658947e-02	1.666607958797148070e+00 
14	-8.46591839e-02	1.214077131418027644e+00 
11	-8.42681660e-02	5.874040195774308248e-01 
4	-7.78442392e-02	2.250376305697684987e-01 
15	-7.06484466e-02	1.308006688242768500e-01 
0	-6.39872767e-02	6.688924101930869559e-02 
5	-6.08437440e-02	3.560549882814278977e-02 
10	-5.95876227e-02	2.358880354696148152e-02 
13	-5.94987499e-02	2.198597270135558071e-02 
9	-5.89671311e-02	2.142245575021879331e-02 
2	-5.87315245e-02	1.504543306111904948e-02 
1	inf	3.689456624931866600e+02 
3	inf	2.761457491413942194e+02 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
3	-4.60119308e-02	2.005786146446773888e+00 
11	-4.59721022e-02	1.580597237039616410e+00 
10	-4.56940954e-02	7.730925570934196189e-01 
15	-4.43035985e-02	2.272825186454647262e-01 
14	-4.40746561e-02	2.053929775130291790e-01 
13	-4.39147019e-02	1.929049260607586525e-01 
7	-4.35057209e-02	1.673801155785369921e-01 
8	-4.22013215e-02	1.018017784662853670e-01 
0	-4.02129771e-02	3.871098555753235693e-02 
6	-4.00228985e-02	3.658162831719956321e-02 
9	-3.94714136e-02	1.582802013237056410e-02 
1	inf	4.227425347612589803e+02 
12	inf	5.406893269479251529e+01 
2	inf	8.186498908903202221e+01 
4	inf	3.826695229240839353e+02 
5	inf	2.372025413326805392e+02 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
11	-3.18488907e-02	8.403932693751103855e+00 
12	-3.16145205e-02	1.038962542980837256e+01 
4	-3.16069237e-02	2.250670507745864413e+00 
10	-3.14086202e-02	1.711976006428067265e+01 
15	-3.10739014e-02	5.671716412467965318e-01 
5	-3.08605710e-02	4.534027706887018283e-01 
2	-3.04993027e-02	3.242672918393063042e-01 
7	-2.89267297e-02	5.771707255903786582e-02 
9	-2.87586831e-02	3.810416151947080415e-02 
1	-2.85942004e-02	1.212534840732386147e-02 
6	-2.85652836e-02	1.164359977830719053e-02 
0	inf	5.957194969430954501e+01 
13	inf	3.748090718343407275e+02 
14	inf	1.481893261525038952e+02 
3	inf	2.852333530529389236e+02 
8	inf	1.502961958325163607e+02 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
6	-2.44142489e-02	8.388971900590123099e+00 
2	-2.43877239e-02	1.441184165487875291e+01 
4	-2.42845679e-02	6.096419231689210072e+00 
8	-2.42801954e-02	5.905006421520117676e+00 
3	-2.41472367e-02	2.388407835936166013e+00 
12	-2.41303726e-02	2.060462121597064211e+00 
7	-2.37152065e-02	7.185934053446456637e-01 
10	-2.35830035e-02	5.655850187560684805e-01 
13	-2.30538754e-02	2.737490920847081011e-01 
1	-2.29117948e-02	2.081788397152004033e-01 
15	-2.25253955e-02	2.708274788644774583e-02 
0	-2.24546133e-02	2.371975020062981956e-02 
5	-2.24127966e-02	1.037570551057248082e-02 
14	6.64415799e-03	2.208602739080142641e+01 
11	inf	3.860739268817331293e+01 
9	inf	5.959660643352238907e+01 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
5	-1.95164644e-02	7.152067233012216363e+00 
14	-1.93203369e-02	1.122310814080210051e+00 
7	-1.88312481e-02	3.555345586221934640e-01 
12	-1.87971778e-02	3.052194964529501564e-01 
4	-1.87485135e-02	2.816274463974799969e-01 
1	-1.87452521e-02	2.510365677957711039e-01 
10	-1.86569131e-02	1.625787185758987285e-01 
2	-1.86471350e-02	1.479044471544719574e-01 
11	-1.86355148e-02	1.687538814161475831e-01 
6	-1.86313784e-02	1.524092056032517739e-01 
0	inf	6.197736611896235814e+01 
13	inf	2.155122725569717090e+02 
15	inf	1.799650396627378512e+01 
3	inf	2.153262637366190191e+01 
8	inf	3.593713193140948192e+01 
9	inf	6.236418906773815252e+01 

