#
# Mean: -4.60119308e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.60119308e-02       3.165856e-07
      2              500       -4.60119308e-02       4.294815e-07
      5              200       -4.60119308e-02       6.258797e-07
     10              100       -4.60119308e-02       8.088366e-07
     20               50       -4.60119308e-02       1.016563e-06
     50               20       -4.60119308e-02       1.287971e-06
    100               10       -4.60119308e-02       1.687098e-06
    200                5       -4.60119308e-02       2.196988e-06
    300                3       -4.60126495e-02       2.898547e-06
    400                2       -4.60126192e-02       2.092798e-06
# Stocahstic error estimate: 2.898547e-06
#
