rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
10	-8.47514437e-02	4.966713837160076750e+00 
8	-8.43982780e-02	2.525765360174753171e-01 
2	-8.43760037e-02	2.136064485914644373e-01 
4	-8.43671333e-02	2.034286882153439613e-01 
5	-8.43050603e-02	1.362903513220168616e-01 
14	-8.42132036e-02	7.918124844523734274e-02 
6	-8.41063916e-02	5.024276629371171587e-02 
0	-8.40282253e-02	3.300490722190314863e-02 
11	-8.39562875e-02	1.703484127692897129e-02 
1	inf	7.330743635779731449e+01 
12	inf	4.888126454682226267e+02 
13	inf	2.415833644422777979e+02 
15	inf	1.314615107537018162e+02 
3	inf	2.453307717171786706e+01 
7	inf	2.759220564771543422e+02 
9	inf	1.235733826998218348e+02 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
0	-4.61632101e-02	1.878391336691248803e+00 
11	-4.61163370e-02	4.015088050524761587e-01 
8	-4.60856944e-02	1.696285457277433573e-01 
14	-4.60790191e-02	1.313515888141733434e+01 
3	-4.60601039e-02	8.849619829612816180e-02 
15	-4.60510088e-02	7.087113012811339929e-02 
12	-4.60151048e-02	2.983731726746927451e-02 
1	inf	8.891305430060594972e+01 
10	inf	2.647146123394599044e+02 
13	inf	3.668373498454880632e+01 
2	inf	1.854644048750548393e+02 
4	inf	3.432330063245165661e+02 
5	inf	1.505711298006560526e+02 
6	inf	1.730792921840506438e+01 
7	inf	2.003276447601080008e+02 
9	inf	3.090673610009866934e+01 

rs = 30
----------------------------------------
Trial	Energy	Hyperparameters
4	-3.18810805e-02	2.266022548851557517e+00 
5	-3.18768169e-02	1.311116156978852976e+00 
6	-3.18767446e-02	1.389915136456800315e+00 
12	-3.18749766e-02	1.424280962556104368e+00 
1	-3.18695866e-02	8.402396725382536014e-01 
13	-3.18674757e-02	6.210248329615207785e-01 
11	-3.18405291e-02	1.231934300510354185e-01 
9	-3.18270363e-02	7.621641314978022663e-02 
0	-3.18198570e-02	5.003731178476766156e-02 
8	-3.18113444e-02	2.761468457253568251e-02 
10	6.46442047e-02	1.640144582582302846e+01 
14	inf	5.557593281366636973e+01 
15	inf	3.159707768198197755e+02 
2	inf	5.998606920276933607e+01 
3	inf	2.709341804940034137e+01 
7	inf	9.613342527797613002e+01 

rs = 40
----------------------------------------
Trial	Energy	Hyperparameters
0	-2.44120394e-02	2.936022066727965729e+00 
3	-2.44099502e-02	4.434218173363743354e+00 
1	-2.44070357e-02	1.160495691232254378e+00 
14	-2.43985002e-02	3.913958725163026453e-01 
11	-2.43869811e-02	1.371466550134306672e+01 
2	-2.43805365e-02	1.173604532702444692e-01 
13	-2.43727610e-02	6.990815297330779665e-02 
12	-2.43698744e-02	4.906755692327351842e-02 
10	-2.43684065e-02	2.332569665408932430e-02 
15	-2.43658546e-02	1.088089727217180468e-02 
4	inf	4.339303433915311814e+01 
5	inf	5.394184492147722665e+01 
6	inf	1.123173995481855485e+02 
7	inf	1.614268214420588947e+02 
8	inf	8.175003580148249682e+01 
9	inf	9.757855508843971393e+01 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
2	-1.98066721e-02	6.694719738729060232e+00 
9	-1.98055858e-02	5.380600945388014367e+00 
5	-1.98015340e-02	1.666836480650802921e+00 
8	-1.98010523e-02	1.519243133913577903e+00 
3	-1.98008095e-02	2.102526455610451706e+00 
6	-1.97927899e-02	4.483733420752459842e-01 
7	-1.97884793e-02	2.970406451019658167e-01 
15	-1.97795526e-02	1.319528770167726905e-01 
1	-1.97752511e-02	7.125959465108870627e-02 
14	-1.97739545e-02	1.234147584935533885e-02 
0	-1.97739333e-02	6.044338828299644639e-02 
10	inf	2.091133845411347636e+02 
11	inf	6.787539282472803848e+01 
12	inf	3.426875279818604980e+01 
13	inf	4.859134651321842853e+02 
4	inf	1.118518124572460515e+01 

