#
# Mean: -4.61784442e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.61784442e-02       1.960122e-07
      2              500       -4.61784442e-02       2.656339e-07
      5              200       -4.61784442e-02       3.873907e-07
     10              100       -4.61784442e-02       4.917365e-07
     20               50       -4.61784442e-02       5.907632e-07
     50               20       -4.61784442e-02       6.215754e-07
    100               10       -4.61784442e-02       6.046020e-07
    200                5       -4.61784442e-02       5.629892e-07
    300                3       -4.61786188e-02       1.942622e-07
    400                2       -4.61786922e-02       9.173842e-07
# Stocahstic error estimate: 6.215754e-07
#
