#
# Mean: 5.76939071e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.76939071e-01       3.414334e-05
      2             5000       5.76939071e-01       4.194662e-05
      5             2000       5.76939071e-01       5.169378e-05
     10             1000       5.76939071e-01       5.604197e-05
     20              500       5.76939071e-01       6.073530e-05
     50              200       5.76939071e-01       6.321167e-05
    100              100       5.76939071e-01       6.722884e-05
    200               50       5.76939071e-01       7.079001e-05
    300               33       5.76934910e-01       7.804584e-05
    400               25       5.76939071e-01       7.877586e-05
    500               20       5.76939071e-01       8.492395e-05
   1000               10       5.76939071e-01       9.697153e-05
# Stocahstic error estimate: 6.321167e-05
#
