#
# Mean: -2.60791839e-03
# Block size    # of blocks         Mean                Error
      1            10000       -2.60791839e-03       1.519647e-05
      2             5000       -2.60791839e-03       1.847221e-05
      5             2000       -2.60791839e-03       2.260230e-05
     10             1000       -2.60791839e-03       2.476803e-05
     20              500       -2.60791839e-03       2.618214e-05
     50              200       -2.60791839e-03       2.552612e-05
    100              100       -2.60791839e-03       2.590545e-05
    200               50       -2.60791839e-03       2.739654e-05
    300               33       -2.60648678e-03       2.640137e-05
    400               25       -2.60791839e-03       2.662817e-05
    500               20       -2.60791839e-03       2.499292e-05
   1000               10       -2.60791839e-03       2.541669e-05
# Stocahstic error estimate: 2.618214e-05
#
