#
# Mean: 5.74061918e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.74061918e-01       4.044685e-05
      2             5000       5.74061918e-01       4.817146e-05
      5             2000       5.74061918e-01       5.686164e-05
     10             1000       5.74061918e-01       6.183729e-05
     20              500       5.74061918e-01       6.592072e-05
     50              200       5.74061918e-01       6.856915e-05
    100              100       5.74061918e-01       6.552698e-05
    200               50       5.74061918e-01       6.342139e-05
    300               33       5.74061995e-01       6.248386e-05
    400               25       5.74061918e-01       5.032498e-05
    500               20       5.74061918e-01       6.266853e-05
   1000               10       5.74061918e-01       8.227239e-05
# Stocahstic error estimate: 6.856915e-05
#
