#
# Mean: -7.81183963e-02
# Block size    # of blocks         Mean                Error
      1            10000       -7.81183963e-02       5.120926e-06
      2             5000       -7.81183963e-02       6.151883e-06
      5             2000       -7.81183963e-02       7.503937e-06
     10             1000       -7.81183963e-02       8.035557e-06
     20              500       -7.81183963e-02       8.419198e-06
     50              200       -7.81183963e-02       8.247682e-06
    100              100       -7.81183963e-02       8.793747e-06
    200               50       -7.81183963e-02       8.730107e-06
    300               33       -7.81178652e-02       1.010770e-05
    400               25       -7.81183963e-02       1.093595e-05
    500               20       -7.81183963e-02       1.141824e-05
   1000               10       -7.81183963e-02       1.257531e-05
# Stocahstic error estimate: 8.419198e-06
#
