#
# Mean: -5.91473292e-03
# Block size    # of blocks         Mean                Error
      1             1000       -5.91473292e-03       9.095008e-05
      2              500       -5.91473292e-03       1.034259e-04
      5              200       -5.91473292e-03       1.223174e-04
     10              100       -5.91473292e-03       1.257219e-04
     20               50       -5.91473292e-03       1.281077e-04
     50               20       -5.91473292e-03       1.347322e-04
    100               10       -5.91473292e-03       1.012108e-04
    200                5       -5.91473292e-03       1.013200e-04
    300                3       -5.94011265e-03       1.573602e-05
    400                2       -5.99041499e-03       8.747365e-05
# Stocahstic error estimate: 1.257219e-04
#
