#
# Mean: 5.75024537e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.75024537e-01       3.660275e-05
      2             5000       5.75024537e-01       4.396319e-05
      5             2000       5.75024537e-01       5.369892e-05
     10             1000       5.75024537e-01       5.830863e-05
     20              500       5.75024537e-01       6.109240e-05
     50              200       5.75024537e-01       6.821163e-05
    100              100       5.75024537e-01       6.808143e-05
    200               50       5.75024537e-01       7.876877e-05
    300               33       5.75031742e-01       7.340940e-05
    400               25       5.75024537e-01       7.309848e-05
    500               20       5.75024537e-01       7.898298e-05
   1000               10       5.75024537e-01       8.564185e-05
# Stocahstic error estimate: 6.109240e-05
#
