#
# Mean: -7.77758004e-02
# Block size    # of blocks         Mean                Error
      1            10000       -7.77758004e-02       4.870635e-06
      2             5000       -7.77758004e-02       5.881463e-06
      5             2000       -7.77758004e-02       7.042740e-06
     10             1000       -7.77758004e-02       7.603057e-06
     20              500       -7.77758004e-02       8.078461e-06
     50              200       -7.77758004e-02       8.138181e-06
    100              100       -7.77758004e-02       8.405982e-06
    200               50       -7.77758004e-02       8.326470e-06
    300               33       -7.77749581e-02       8.602888e-06
    400               25       -7.77758004e-02       9.140159e-06
    500               20       -7.77758004e-02       9.447815e-06
   1000               10       -7.77758004e-02       9.187984e-06
# Stocahstic error estimate: 8.138181e-06
#
