#
# Mean: 5.76808175e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.76808175e-01       4.001084e-05
      2             5000       5.76808175e-01       4.849409e-05
      5             2000       5.76808175e-01       5.881076e-05
     10             1000       5.76808175e-01       6.529188e-05
     20              500       5.76808175e-01       6.748606e-05
     50              200       5.76808175e-01       7.215408e-05
    100              100       5.76808175e-01       7.375869e-05
    200               50       5.76808175e-01       7.353509e-05
    300               33       5.76811487e-01       7.928130e-05
    400               25       5.76808175e-01       8.276757e-05
    500               20       5.76808175e-01       8.168392e-05
   1000               10       5.76808175e-01       1.059218e-04
# Stocahstic error estimate: 6.748606e-05
#
