#
# Mean: -7.70650152e-02
# Block size    # of blocks         Mean                Error
      1            10000       -7.70650152e-02       4.777306e-06
      2             5000       -7.70650152e-02       5.815303e-06
      5             2000       -7.70650152e-02       7.105447e-06
     10             1000       -7.70650152e-02       7.850167e-06
     20              500       -7.70650152e-02       8.191781e-06
     50              200       -7.70650152e-02       8.683637e-06
    100              100       -7.70650152e-02       8.633859e-06
    200               50       -7.70650152e-02       8.841333e-06
    300               33       -7.70655820e-02       8.634917e-06
    400               25       -7.70650152e-02       9.118856e-06
    500               20       -7.70650152e-02       9.722897e-06
   1000               10       -7.70650152e-02       1.166724e-05
# Stocahstic error estimate: 8.191781e-06
#
