#
# Mean: 5.76687586e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.76687586e-01       3.924907e-05
      2             5000       5.76687586e-01       4.746918e-05
      5             2000       5.76687586e-01       5.795056e-05
     10             1000       5.76687586e-01       6.258167e-05
     20              500       5.76687586e-01       6.365235e-05
     50              200       5.76687586e-01       6.695056e-05
    100              100       5.76687586e-01       6.542795e-05
    200               50       5.76687586e-01       6.160270e-05
    300               33       5.76670072e-01       6.893017e-05
    400               25       5.76687586e-01       6.967395e-05
    500               20       5.76687586e-01       6.151019e-05
   1000               10       5.76687586e-01       7.230798e-05
# Stocahstic error estimate: 6.365235e-05
#
