#
# Mean: -2.85698371e-03
# Block size    # of blocks         Mean                Error
      1            10000       -2.85698371e-03       1.538841e-05
      2             5000       -2.85698371e-03       1.871735e-05
      5             2000       -2.85698371e-03       2.299987e-05
     10             1000       -2.85698371e-03       2.532291e-05
     20              500       -2.85698371e-03       2.643398e-05
     50              200       -2.85698371e-03       2.703975e-05
    100              100       -2.85698371e-03       2.600831e-05
    200               50       -2.85698371e-03       2.818716e-05
    300               33       -2.85466105e-03       2.295103e-05
    400               25       -2.85698371e-03       2.706663e-05
    500               20       -2.85698371e-03       3.012279e-05
   1000               10       -2.85698371e-03       2.248735e-05
# Stocahstic error estimate: 2.643398e-05
#
