#
# Mean: 5.76206072e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.76206072e-01       3.543055e-05
      2             5000       5.76206072e-01       4.267216e-05
      5             2000       5.76206072e-01       5.157097e-05
     10             1000       5.76206072e-01       5.662303e-05
     20              500       5.76206072e-01       6.094792e-05
     50              200       5.76206072e-01       5.985130e-05
    100              100       5.76206072e-01       5.919362e-05
    200               50       5.76206072e-01       6.528524e-05
    300               33       5.76210677e-01       6.653801e-05
    400               25       5.76206072e-01       6.776388e-05
    500               20       5.76206072e-01       7.075180e-05
   1000               10       5.76206072e-01       7.207773e-05
# Stocahstic error estimate: 6.094792e-05
#
