#
# Mean: -2.92068512e-03
# Block size    # of blocks         Mean                Error
      1            10000       -2.92068512e-03       1.658162e-05
      2             5000       -2.92068512e-03       2.008838e-05
      5             2000       -2.92068512e-03       2.463483e-05
     10             1000       -2.92068512e-03       2.746739e-05
     20              500       -2.92068512e-03       2.917646e-05
     50              200       -2.92068512e-03       3.046247e-05
    100              100       -2.92068512e-03       3.158449e-05
    200               50       -2.92068512e-03       3.058289e-05
    300               33       -2.92116154e-03       3.143652e-05
    400               25       -2.92068512e-03       3.121861e-05
    500               20       -2.92068512e-03       3.336698e-05
   1000               10       -2.92068512e-03       3.860678e-05
# Stocahstic error estimate: 3.046247e-05
#
