#
# Mean: -8.26815619e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.26815619e-03       8.106256e-06
      2              500       -8.26815619e-03       9.465583e-06
      5              200       -8.26815619e-03       1.113106e-05
     10              100       -8.26815619e-03       1.070514e-05
     20               50       -8.26815619e-03       1.042286e-05
     50               20       -8.26815619e-03       8.498674e-06
    100               10       -8.26815619e-03       7.736712e-06
    200                5       -8.26815619e-03       7.389864e-06
    300                3       -8.26985946e-03       1.140227e-05
    400                2       -8.27028787e-03       1.870552e-05
# Stocahstic error estimate: 1.113106e-05
#
