#
# Mean: 5.69080424e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.69080424e-01       2.181163e-05
      2              500       5.69080424e-01       2.604222e-05
      5              200       5.69080424e-01       2.897499e-05
     10              100       5.69080424e-01       3.204726e-05
     20               50       5.69080424e-01       3.095457e-05
     50               20       5.69080424e-01       2.231777e-05
    100               10       5.69080424e-01       2.774349e-05
    200                5       5.69080424e-01       2.485484e-05
    300                3       5.69083522e-01       1.511821e-05
    400                2       5.69078562e-01       1.987843e-05
# Stocahstic error estimate: 3.204726e-05
#
