#
# Mean: 5.74967207e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.74967207e-01       3.165862e-05
      2             5000       5.74967207e-01       3.835622e-05
      5             2000       5.74967207e-01       4.733150e-05
     10             1000       5.74967207e-01       5.294775e-05
     20              500       5.74967207e-01       5.678784e-05
     50              200       5.74967207e-01       6.287065e-05
    100              100       5.74967207e-01       6.520819e-05
    200               50       5.74967207e-01       6.228775e-05
    300               33       5.74983979e-01       6.208202e-05
    400               25       5.74967207e-01       6.811603e-05
    500               20       5.74967207e-01       7.700417e-05
   1000               10       5.74967207e-01       9.849514e-05
# Stocahstic error estimate: 6.520819e-05
#
