#
# Mean: -7.76951472e-02
# Block size    # of blocks         Mean                Error
      1            10000       -7.76951472e-02       4.600594e-06
      2             5000       -7.76951472e-02       5.591424e-06
      5             2000       -7.76951472e-02       6.755618e-06
     10             1000       -7.76951472e-02       7.391763e-06
     20              500       -7.76951472e-02       7.832154e-06
     50              200       -7.76951472e-02       8.290889e-06
    100              100       -7.76951472e-02       8.398210e-06
    200               50       -7.76951472e-02       8.109412e-06
    300               33       -7.76961392e-02       7.802517e-06
    400               25       -7.76951472e-02       7.277809e-06
    500               20       -7.76951472e-02       6.816715e-06
   1000               10       -7.76951472e-02       7.284509e-06
# Stocahstic error estimate: 8.398210e-06
#
