#
# Mean: 5.68961147e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.68961147e-01       1.545787e-05
      2              500       5.68961147e-01       1.842073e-05
      5              200       5.68961147e-01       2.117723e-05
     10              100       5.68961147e-01       2.205627e-05
     20               50       5.68961147e-01       2.494805e-05
     50               20       5.68961147e-01       2.724258e-05
    100               10       5.68961147e-01       2.918837e-05
    200                5       5.68961147e-01       1.974555e-05
    300                3       5.68960725e-01       3.263524e-05
    400                2       5.68949591e-01       2.403133e-05
# Stocahstic error estimate: 2.205627e-05
#
