rs = 1
----------------------------------------
Trial	Energy	Hyperparameters
14	5.68973374e-01	3.575448336555290263e-01 
13	5.68974532e-01	6.021273883097612023e-01 
6	5.68978814e-01	1.160305923189198507e-01 
0	5.68980177e-01	3.922425392771388131e-01 
11	5.68981400e-01	3.639585739772764894e-01 
3	5.68981460e-01	2.434189490118627008e-01 
4	5.68999889e-01	1.231817933128293296e-01 
9	5.69004153e-01	3.210707095889583917e-01 
12	5.69015458e-01	6.384373984750875142e-01 
7	5.69029428e-01	4.117022079723379746e-01 
10	5.69030973e-01	1.745577189006382590e-01 
8	5.69041877e-01	5.218912383024620211e-02 
15	5.69045075e-01	2.634662100874430313e-01 
5	5.69046370e-01	1.065690957660348770e-01 
1	5.69054540e-01	2.972392138376480641e-01 
2	6.00213063e-01	5.552182125413066549e-01 

rs = 2
----------------------------------------
Trial	Energy	Hyperparameters
13	-8.35653947e-03	2.220988554600453191e-01 
10	-8.35268117e-03	4.022312785255431900e-01 
1	-8.34490844e-03	1.177536366446109845e-01 
11	-8.34322824e-03	3.351243191103918106e-01 
6	-8.33845897e-03	2.451920952795086095e-01 
3	-8.33339595e-03	7.583823462690236772e-01 
14	-8.32824239e-03	3.767554970190795105e-01 
0	-8.32685560e-03	3.812262738123526895e-01 
7	-8.32664148e-03	1.910014720750801143e-01 
15	-8.32502999e-03	2.205818551010582385e-01 
5	-8.32443775e-03	1.593355860520450085e-01 
2	-8.31620198e-03	1.141493415491837415e-01 
12	-8.31490938e-03	1.092893106703388822e-01 
9	-8.31043974e-03	3.026410345627251752e-01 
4	-8.29246736e-03	5.777250914886898625e-02 
8	-8.28453052e-03	6.848263994230728569e-02 

rs = 5
----------------------------------------
Trial	Energy	Hyperparameters
7	-7.98481974e-02	4.665543749237739957e-01 
14	-7.98405191e-02	6.773151909503707380e-01 
15	-7.98370633e-02	8.867611087233723266e-01 
4	-7.98300480e-02	4.377000945748918959e-01 
2	-7.98166322e-02	3.506877196347463199e-01 
1	-7.98153151e-02	3.632522501594236952e-01 
13	-7.98064493e-02	3.281470699492647358e-01 
0	-7.98042549e-02	1.234909250759127913e-01 
6	-7.98028516e-02	2.487915814557504213e-01 
10	-7.97757503e-02	2.074885288013416651e-01 
12	-7.97716771e-02	2.854723293478566015e-01 
8	-7.97710893e-02	1.380609158954147764e-01 
3	-7.97598088e-02	1.707919114740981681e-01 
5	-7.97373398e-02	7.494705181531179095e-02 
11	-7.97190124e-02	5.021983695186588159e-02 
9	-7.97188347e-02	5.111105404548424436e-02 

rs = 10
----------------------------------------
Trial	Energy	Hyperparameters
12	-5.51849596e-02	8.165649578459008850e-01 
13	-5.51751843e-02	4.291781091625810340e-01 
1	-5.51665020e-02	6.975130288404224332e-01 
11	-5.51623198e-02	4.135339954378433602e-01 
10	-5.51481438e-02	2.439577365454285163e-01 
2	-5.51332149e-02	9.935488584834771542e-02 
3	-5.51223640e-02	9.923558153278773386e-02 
5	-5.51106049e-02	9.694844374015669508e-02 
9	-5.51024616e-02	8.134656573895641951e-02 
7	-5.51013820e-02	9.154540910989912572e-02 
15	-5.50995842e-02	6.906402431047034551e-02 
6	-5.50990494e-02	6.666488526940252124e-02 
4	-5.50919124e-02	8.889807925641465824e-02 
14	-5.50857001e-02	7.116024678486147781e-02 
8	-5.50716498e-02	5.964719881805183310e-02 
0	-5.50203207e-02	5.233331051670828127e-02 

rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
10	-3.23916364e-02	2.738898268608891962e-01 
9	-3.23681631e-02	2.799000085765210311e-01 
0	-3.23498565e-02	1.906655313376287575e-01 
13	-3.23433016e-02	3.981621599133536860e-01 
12	-3.23417462e-02	1.492442376581445129e-01 
5	-3.23370505e-02	4.843268148070455359e-01 
4	-3.23208970e-02	5.507605176970934435e-01 
3	-3.23114760e-02	6.097463452444630283e-01 
7	-3.23014482e-02	5.729029617294636445e-01 
6	-3.22720257e-02	1.050760453020855439e-01 
14	-3.22465744e-02	5.123182037992290994e-02 
2	-3.21446582e-02	7.373605697862928299e-02 
11	-3.21143868e-02	7.779289959095156970e-01 
1	-3.20847567e-02	7.343138761200190823e-02 
15	-3.19697246e-02	7.356093982189430003e-01 
8	inf	8.785408446494916701e-01 

rs = 50
----------------------------------------
Trial	Energy	Hyperparameters
13	-1.45069131e-02	4.095224666585055018e-01 
8	-1.44359302e-02	2.137400359988126386e-01 
