#
# Mean: 5.68978763e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.68978763e-01       1.755778e-05
      2              500       5.68978763e-01       1.984395e-05
      5              200       5.68978763e-01       2.145251e-05
     10              100       5.68978763e-01       2.333823e-05
     20               50       5.68978763e-01       2.461927e-05
     50               20       5.68978763e-01       2.438611e-05
    100               10       5.68978763e-01       2.820095e-05
    200                5       5.68978763e-01       3.791146e-05
    300                3       5.68986520e-01       4.997984e-05
    400                2       5.68982918e-01       6.545901e-05
# Stocahstic error estimate: 2.461927e-05
#
