#
# Mean: -8.33609288e-03
# Block size    # of blocks         Mean                Error
      1             1000       -8.33609288e-03       8.814205e-06
      2              500       -8.33609288e-03       1.000226e-05
      5              200       -8.33609288e-03       1.149511e-05
     10              100       -8.33609288e-03       1.227091e-05
     20               50       -8.33609288e-03       1.330651e-05
     50               20       -8.33609288e-03       1.036692e-05
    100               10       -8.33609288e-03       1.044166e-05
    200                5       -8.33609288e-03       1.148447e-05
    300                3       -8.33992464e-03       1.454382e-05
    400                2       -8.34411668e-03       1.737595e-05
# Stocahstic error estimate: 1.330651e-05
#
