#
# Mean: -7.59726102e-03
# Block size    # of blocks         Mean                Error
      1            10000       -7.59726102e-03       6.936100e-08
      2             5000       -7.59726102e-03       8.790612e-08
      5             2000       -7.59726102e-03       1.155076e-07
     10             1000       -7.59726102e-03       1.333019e-07
     20              500       -7.59726102e-03       1.494223e-07
     50              200       -7.59726102e-03       1.594740e-07
    100              100       -7.59726102e-03       1.535017e-07
    200               50       -7.59726102e-03       1.538931e-07
    300               33       -7.59725646e-03       1.483420e-07
    400               25       -7.59726102e-03       1.335826e-07
    500               20       -7.59726102e-03       1.612279e-07
   1000               10       -7.59726102e-03       1.730010e-07
# Stocahstic error estimate: 1.594740e-07
#
