#
# Mean: 1.79916934e+00
# Block size    # of blocks         Mean                Error
      1            10000       1.79916934e+00       9.556665e-05
      2             5000       1.79916934e+00       1.306146e-04
      5             2000       1.79916934e+00       1.954015e-04
     10             1000       1.79916934e+00       2.617107e-04
     20              500       1.79916934e+00       3.411700e-04
     50              200       1.79916934e+00       4.791695e-04
    100              100       1.79916934e+00       6.224112e-04
    200               50       1.79916934e+00       7.326921e-04
    300               33       1.79908081e+00       8.623766e-04
    400               25       1.79916934e+00       9.034709e-04
    500               20       1.79916934e+00       9.674756e-04
   1000               10       1.79916934e+00       8.629713e-04
# Stocahstic error estimate: 9.034709e-04
#
