#
# Mean: -7.78094664e-02
# Block size    # of blocks         Mean                Error
      1             1000       -7.78094664e-02       3.394019e-06
      2              500       -7.78094664e-02       4.352439e-06
      5              200       -7.78094664e-02       5.792392e-06
     10              100       -7.78094664e-02       6.709116e-06
     20               50       -7.78094664e-02       7.307871e-06
     50               20       -7.78094664e-02       7.422738e-06
    100               10       -7.78094664e-02       8.666339e-06
    200                5       -7.78094664e-02       6.967721e-06
    300                3       -7.78091671e-02       1.124413e-05
    400                2       -7.78044442e-02       9.696394e-06
# Stocahstic error estimate: 7.422738e-06
#
