#
# Mean: 5.31381782e-01
# Block size    # of blocks         Mean                Error
      1             2000       5.31381782e-01       1.505569e-05
      2             1000       5.31381782e-01       1.878501e-05
      5              400       5.31381782e-01       2.441194e-05
     10              200       5.31381782e-01       2.852546e-05
     20              100       5.31381782e-01       3.230678e-05
     50               40       5.31381782e-01       3.877162e-05
    100               20       5.31381782e-01       4.316507e-05
    200               10       5.31381782e-01       5.196197e-05
    300                6       5.31398761e-01       6.363185e-05
    400                5       5.31381782e-01       6.208597e-05
    500                4       5.31381782e-01       3.692826e-05
# Stocahstic error estimate: 6.363185e-05
#
