#
# Mean: 5.35856640e-01
# Block size    # of blocks         Mean                Error
      1            10000       5.35856640e-01       1.077755e-05
      2             5000       5.35856640e-01       1.403525e-05
      5             2000       5.35856640e-01       1.938676e-05
     10             1000       5.35856640e-01       2.372046e-05
     20              500       5.35856640e-01       2.734734e-05
     50              200       5.35856640e-01       2.976059e-05
    100              100       5.35856640e-01       3.083226e-05
    200               50       5.35856640e-01       3.672601e-05
    300               33       5.35859897e-01       3.624809e-05
    400               25       5.35856640e-01       3.481285e-05
    500               20       5.35856640e-01       3.690278e-05
   1000               10       5.35856640e-01       4.245646e-05
# Stocahstic error estimate: 3.083226e-05
#
