#
# Mean: -6.71379665e-03
# Block size    # of blocks         Mean                Error
      1             1000       -6.71379665e-03       1.217879e-07
      2              500       -6.71379665e-03       1.631078e-07
      5              200       -6.71379665e-03       2.331633e-07
     10              100       -6.71379665e-03       2.851687e-07
     20               50       -6.71379665e-03       3.325939e-07
     50               20       -6.71379665e-03       3.658827e-07
    100               10       -6.71379665e-03       3.538048e-07
    200                5       -6.71379665e-03       4.000651e-07
    300                3       -6.71385315e-03       3.084724e-07
    400                2       -6.71391026e-03       9.507835e-07
# Stocahstic error estimate: 3.658827e-07
#
