#
# Mean: 5.78745762e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.78745762e-01       2.002782e-04
      2              500       5.78745762e-01       2.514569e-04
      5              200       5.78745762e-01       3.051535e-04
     10              100       5.78745762e-01       3.433324e-04
     20               50       5.78745762e-01       3.565815e-04
     50               20       5.78745762e-01       4.217409e-04
    100               10       5.78745762e-01       5.177364e-04
    200                5       5.78745762e-01       5.248125e-04
    300                3       5.78540885e-01       3.330854e-04
    400                2       5.78664527e-01       1.266698e-03
# Stocahstic error estimate: 3.565815e-04
#
