#
# Mean: -4.91730840e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.91730840e-02       4.096461e-06
      2              500       -4.91730840e-02       5.432410e-06
      5              200       -4.91730840e-02       7.666296e-06
     10              100       -4.91730840e-02       9.652831e-06
     20               50       -4.91730840e-02       1.173660e-05
     50               20       -4.91730840e-02       1.085441e-05
    100               10       -4.91730840e-02       1.128957e-05
    200                5       -4.91730840e-02       7.974732e-06
    300                3       -4.91744482e-02       7.069939e-06
    400                2       -4.91724921e-02       8.097948e-06
# Stocahstic error estimate: 1.173660e-05
#
