#
# Mean: 5.88184425e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.88184425e-01       1.061541e-04
      2              500       5.88184425e-01       1.380342e-04
      5              200       5.88184425e-01       1.850662e-04
     10              100       5.88184425e-01       2.307671e-04
     20               50       5.88184425e-01       2.714467e-04
     50               20       5.88184425e-01       2.699436e-04
    100               10       5.88184425e-01       2.885663e-04
    200                5       5.88184425e-01       3.523665e-04
    300                3       5.88089588e-01       3.159713e-04
    400                2       5.87919093e-01       4.174785e-04
# Stocahstic error estimate: 2.714467e-04
#
