#
# Mean: 5.88604122e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.88604122e-01       1.053686e-04
      2              500       5.88604122e-01       1.374627e-04
      5              200       5.88604122e-01       1.857683e-04
     10              100       5.88604122e-01       2.170776e-04
     20               50       5.88604122e-01       2.485898e-04
     50               20       5.88604122e-01       2.337057e-04
    100               10       5.88604122e-01       2.436858e-04
    200                5       5.88604122e-01       2.236558e-04
    300                3       5.88653399e-01       2.985364e-04
    400                2       5.88661418e-01       5.894200e-04
# Stocahstic error estimate: 2.485898e-04
#
