#
# Mean: -1.36890872e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.36890872e-02       3.479315e-07
      2              500       -1.36890872e-02       4.573556e-07
      5              200       -1.36890872e-02       6.435324e-07
     10              100       -1.36890872e-02       7.927497e-07
     20               50       -1.36890872e-02       9.329519e-07
     50               20       -1.36890872e-02       1.013292e-06
    100               10       -1.36890872e-02       1.026288e-06
    200                5       -1.36890872e-02       1.108179e-06
    300                3       -1.36892918e-02       1.924353e-06
    400                2       -1.36891094e-02       6.060863e-07
# Stocahstic error estimate: 1.026288e-06
#
