#
# Mean: 5.29980849e-01
# Block size    # of blocks         Mean                Error
      1             1000       5.29980849e-01       1.250265e-05
      2              500       5.29980849e-01       1.555861e-05
      5              200       5.29980849e-01       2.019031e-05
     10              100       5.29980849e-01       2.295935e-05
     20               50       5.29980849e-01       2.187228e-05
     50               20       5.29980849e-01       2.221847e-05
    100               10       5.29980849e-01       2.429322e-05
    200                5       5.29980849e-01       2.993217e-05
    300                3       5.29974461e-01       1.118314e-05
    400                2       5.29959296e-01       2.868918e-05
# Stocahstic error estimate: 2.295935e-05
#
