#
# Mean: -1.41487925e-02
# Block size    # of blocks         Mean                Error
      1             1000       -1.41487925e-02       2.307398e-07
      2              500       -1.41487925e-02       2.998170e-07
      5              200       -1.41487925e-02       4.070216e-07
     10              100       -1.41487925e-02       5.085670e-07
     20               50       -1.41487925e-02       6.061505e-07
     50               20       -1.41487925e-02       6.291024e-07
    100               10       -1.41487925e-02       5.410754e-07
    200                5       -1.41487925e-02       6.904470e-07
    300                3       -1.41488988e-02       8.534332e-07
    400                2       -1.41491969e-02       9.633557e-07
# Stocahstic error estimate: 6.291024e-07
#
