#
# Mean: -8.52459506e-02
# Block size    # of blocks         Mean                Error
      1             1000       -8.52459506e-02       6.546525e-07
      2              500       -8.52459506e-02       8.718656e-07
      5              200       -8.52459506e-02       1.259741e-06
     10              100       -8.52459506e-02       1.538576e-06
     20               50       -8.52459506e-02       1.760275e-06
     50               20       -8.52459506e-02       1.790668e-06
    100               10       -8.52459506e-02       1.826315e-06
    200                5       -8.52459506e-02       2.118629e-06
    300                3       -8.52460418e-02       1.025181e-06
    400                2       -8.52474638e-02       7.314320e-08
# Stocahstic error estimate: 1.790668e-06
#
