#
# Mean: -4.63176065e-02
# Block size    # of blocks         Mean                Error
      1             1000       -4.63176065e-02       1.349879e-07
      2              500       -4.63176065e-02       1.758901e-07
      5              200       -4.63176065e-02       2.403876e-07
     10              100       -4.63176065e-02       2.847686e-07
     20               50       -4.63176065e-02       3.198693e-07
     50               20       -4.63176065e-02       4.260952e-07
    100               10       -4.63176065e-02       4.495797e-07
    200                5       -4.63176065e-02       6.780168e-07
    300                3       -4.63177534e-02       7.099937e-07
    400                2       -4.63180302e-02       1.231825e-06
# Stocahstic error estimate: 7.099937e-07
#
