rs = 20
----------------------------------------
Trial	Energy	Hyperparameters
9	-4.62854911e-02	1.790498864624426312e-01 
4	-4.62754369e-02	1.139905691834708634e-01 
3	-4.62688712e-02	1.725658474032513434e-01 
8	-4.62489255e-02	6.650524088771410380e-02 
0	-4.62133401e-02	1.149704394685258507e-01 
10	-4.62043463e-02	3.916541521015230731e-02 
5	-4.61777740e-02	3.387658083552925331e-02 
12	-4.61152913e-02	2.601313504068863275e-02 
11	-4.60119373e-02	1.637413809540838247e-02 
2	-4.60044398e-02	1.541183026369472367e-02 
15	-4.59555808e-02	1.022987740570932384e-02 
6	-4.56551710e-02	7.903948855588250888e-01 
1	-4.47591027e-02	9.263565220714102821e-01 
14	-1.24296923e-02	4.234877920519308780e+00 
13	inf	1.325678279963442918e+01 
7	inf	2.694844099185189634e+00 

